,Count
feature,1207
enhancement,313
bug,283
help wanted,254
question,193
good first issue,172
documentation,143
wontfix,123
duplicate,116
discussion,87
performance,69
stale,50
in progress,50
improvement,46
windows,43
docs,43
core,42
refactor,42
security,38
ui,37
invalid,34
hacktoberfest,32
build,32
tests,27
blocked,25
high priority,24
refactoring,24
api,23
design,23
low priority,22
easy,22
test,21
breaking change,21
epic,21
cleanup,20
wip,20
dependencies,19
fixed,19
p2,19
idea,18
task,18
won't fix,18
todo,18
optimization,17
p1,17
linux,17
proposal,17
ux,17
testing,16
backlog,16
python,16
macos,16
android,16
packaging,15
ios,15
usability,14
cli,14
support,13
research,13
discuss,13
up-for-grabs,13
good-first-issue,13
important,13
in-progress,13
help-wanted,12
priority,12
feature request,12
on hold,12
priority: high,12
work in progress,12
up for grabs,12
tools,11
backend,11
frontend,11
configuration,11
breaking,11
ci,11
doc,10
plugin,10
done,10
bugfix,10
p3,10
server,10
roadmap,9
rejected,9
meta,9
plugins,9
logging,9
low,9
infrastructure,9
triaged,9
javascript,9
resolved,9
ready,9
needs investigation,9
rfc,9
accepted,8
request,8
needs discussion,8
p4,8
docker,8
feedback,8
java,8
medium,8
priority: low,8
osx,7
triage,7
pending,7
gui,7
breaking-change,7
ready for review,7
minor,7
suggestion,7
i18n,7
community,7
major,7
api change,7
high,7
investigating,6
config,6
rendering,6
client,6
editor,6
confirmed,6
codeheat,6
example,6
postponed,6
hacktoberfest-accepted,6
gsoc,6
priority:low,6
next release,6
metrics,6
priority: medium,6
high-priority,6
database,6
fix,6
needs review,6
needs more info,6
needs-discussion,6
upstream,6
needs info,6
installation,6
investigate,6
deprecation,5
engine,5
awaiting response,5
regression,5
graphics,5
framework,5
low hanging fruit,5
scripting,5
legacy,5
wont-fix,5
deployment,5
maintenance,5
future,5
out of scope,5
os: windows,5
mac,5
crypto,5
priority:high,5
approved,5
portability,5
waiting for feedback,5
extension,5
do not merge,5
kernel,5
code quality,5
has-pr,5
settings,5
protocol,5
needinfo,5
perf,5
status: in progress,5
audio,5
platform: android,5
ui/ux,5
network,5
networking,5
experimental,5
needs tests,5
website,5
outdated,5
platform,4
v2.x,4
contribution,4
beginner,4
review,4
not a bug,4
do-not-merge,4
needs patch,4
integration,4
external,4
parser,4
typing,4
metadata,4
contributions welcome,4
release blocker,4
accessibility,4
platform: ios,4
web,4
agent,4
incompatible,4
deferred,4
release,4
compatibility,4
blocker,4
build system,4
search,4
highlight,4
console,4
codegen,4
privacy,4
python3,4
assigned,4
implemented,4
desktop,4
pinned,4
nice to have,4
help,4
work-in-progress,4
more information needed,4
feedback wanted,4
2.0,4
examples,4
dependency,4
gameplay,4
hard,4
cancelled,4
critical,3
1.16,3
verified,3
shell,3
urgent,3
size/xs,3
setup,3
aws,3
php,3
consensus,3
solved,3
1.15,3
investigation,3
css,3
compilation,3
size/xl,3
gpu,3
internal,3
extensions,3
ci/cd,3
changelog,3
awaiting feedback,3
profiling,3
